City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,calabozo,8.9242,-67.4293,30.21,54,42,1.01,VE,1714014526
307,phek,25.6667,94.5,28.63,22,1,1.49,IN,1714014527
308,chadron,42.8294,-102.9999,16.82,50,0,6.17,US,1714014528
309,kodiak,57.79,-152.4072,4.73,93,100,4.63,US,1714014529
310,ilhabela,-23.7781,-45.3581,23.15,92,100,2.34,BR,1714014530
311,ebon,4.582,168.6964,28.15,82,36,6.84,MH,1714014532
312,christchurch,-43.5333,172.6333,24.11,38,20,5.14,NZ,1714014302
313,acarau,-2.8856,-40.12,25.93,86,73,3.82,BR,1714014534
314,radziejow,52.6248,18.5277,3.79,93,85,0.69,PL,1714014537
315,luanco,43.6152,-5.7934,11.68,80,100,3.58,ES,1714014538
316,tabas,33.5959,56.9244,18.59,60,87,3.7,IR,1714014539
317,saint-philippe,-21.3585,55.7679,22.77,85,36,3.14,RE,1714014419
318,chibougamau,49.9168,-74.3659,-11.06,95,47,3.07,CA,1714014486
319,bandarbeyla,9.4942,50.8122,28.25,75,100,0.91,SO,1714014542
320,kani keli,-12.9536,45.1033,28.59,74,15,5.96,YT,1714014543
321,juan griego,11.0817,-63.9655,26.54,80,66,6.06,VE,1714014544
322,sharan,54.8167,54.0,10.26,86,89,2.67,RU,1714014545
323,susuman,62.7833,148.1667,-1.68,90,91,1.34,RU,1714014546
324,mafinga,-7.25,35.0667,17.92,90,42,0.86,TZ,1714014547
325,jember,-8.166,113.7032,31.78,63,22,0.73,ID,1714014548
326,pathein,16.7833,94.7333,34.64,45,0,3.85,MM,1714014549
327,mogocha,53.7333,119.7667,4.25,56,100,6.36,RU,1714014550
328,kailua-kona,19.6406,-155.9956,26.98,80,100,4.63,US,1714014519
329,qaqortoq,60.7167,-46.0333,-0.58,85,55,2.71,GL,1714014551
330,waspan,14.7419,-83.9717,24.04,90,4,1.63,NI,1714014552
331,beli,7.8587,10.9719,27.55,62,100,0.65,NG,1714014496
332,san patricio,28.017,-97.5169,24.35,88,31,5.78,US,1714014554
333,dalbandin,28.8947,64.4101,21.21,53,3,4.49,PK,1714014556
334,isla vista,34.4133,-119.861,17.1,76,0,4.63,US,1714014557
335,margate,51.3813,1.3862,5.39,73,100,1.79,GB,1714014536
336,sungai penuh,-2.0833,101.3833,27.11,62,47,1.47,ID,1714014559
337,tabou,4.423,-7.3528,27.18,84,90,2.3,CI,1714014560
338,pangoa,-12.1167,-73.0,21.55,99,100,0.75,PE,1714014534
339,sotouboua,8.5667,0.9833,24.69,81,100,2.39,TG,1714014563
340,tyup,42.7276,78.3648,10.58,71,100,1.08,KG,1714014564
341,ulladulla,-35.35,150.4667,20.98,52,1,3.34,AU,1714014565
342,ghadamis,30.1337,9.5007,12.39,62,4,5.87,LY,1714014566
343,komotini,41.1228,25.3964,12.25,95,100,2.01,GR,1714014566
344,mendi,-6.1761,143.6513,23.56,54,11,3.14,PG,1714014568
345,tamanrasset,22.785,5.5228,15.95,16,0,1.03,DZ,1714014570
346,tweed heads,-28.1817,153.547,27.89,63,40,5.66,AU,1714014571
347,piton saint-leu,-21.2196,55.3151,22.04,78,0,1.54,RE,1714014572
348,polyarnyy,69.1989,33.4478,-2.36,93,100,2.51,RU,1714014572
349,kruisfontein,-34.0033,24.7314,16.05,93,40,2.84,ZA,1714014443
350,holualoa,19.6228,-155.9522,24.91,83,100,4.63,US,1714014575
351,edd,13.9297,41.6925,32.53,46,78,5.51,ER,1714014576
352,lewistown,40.5992,-77.5714,10.67,71,75,4.63,US,1714014310
353,puerto baquerizo moreno,-0.9,-89.6,25.06,86,20,2.66,EC,1714014579
354,valparaiso,-33.0393,-71.6273,7.8,93,0,2.06,CL,1714014331
355,barguzin,53.6167,109.6167,2.55,65,100,4.0,RU,1714014582
356,olonets,60.9847,32.9698,1.03,83,100,4.52,RU,1714014582
357,coronel dorrego,-38.7187,-61.2873,10.97,59,47,5.83,AR,1714014583
358,itororo,-15.1169,-40.0703,20.88,98,3,0.26,BR,1714014319
359,guanica,17.9716,-66.908,27.21,68,57,4.53,PR,1714014586
360,westport,41.1415,-73.3579,12.99,58,75,3.09,US,1714014401
361,bayji,34.9311,43.487,23.88,24,0,3.27,IQ,1714014589
362,vorgashor,67.5833,63.95,-11.78,87,95,1.54,RU,1714014590
363,kolonia town,6.964,158.206,31.06,84,100,4.12,FM,1714014591
